g1821013@R73H:~/work/HDL/lec3/ex3/ex3-2$ iverilog *.v
g1821013@R73H:~/work/HDL/lec3/ex3/ex3-2$ ./a.out
VCD info: dumpfile stopwatch.vcd opened for output.
                   0 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=xx cnt=  x dsp=  x
                 300 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt= 14 dsp= 12
                 305 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt= 15 dsp= 12
                 310 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt= 15 dsp= 12
                 315 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt= 16 dsp= 12
                 320 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt= 16 dsp= 12
                 325 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt= 17 dsp= 12
                 330 clk=0 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt= 17 dsp= 12
                 335 clk=1 sw1=0 sw2=0 sw3=0 next_st=01 st=01 cnt= 18 dsp= 12
                 340 clk=0 sw1=0 sw2=1 sw3=0 next_st=11 st=01 cnt= 18 dsp= 12
                 345 clk=1 sw1=0 sw2=1 sw3=0 next_st=11 st=11 cnt= 19 dsp= 12
                 350 clk=0 sw1=0 sw2=1 sw3=0 next_st=11 st=11 cnt= 19 dsp= 12
                 355 clk=1 sw1=0 sw2=1 sw3=0 next_st=11 st=11 cnt= 19 dsp= 12
                 360 clk=0 sw1=0 sw2=0 sw3=0 next_st=11 st=11 cnt= 19 dsp= 12
                 365 clk=1 sw1=0 sw2=0 sw3=0 next_st=11 st=11 cnt= 19 dsp= 12
                 370 clk=0 sw1=0 sw2=0 sw3=0 next_st=11 st=11 cnt= 19 dsp= 12
                 375 clk=1 sw1=0 sw2=0 sw3=0 next_st=11 st=11 cnt= 19 dsp= 12
                 380 clk=0 sw1=0 sw2=0 sw3=1 next_st=00 st=11 cnt= 19 dsp= 12
                 385 clk=1 sw1=0 sw2=0 sw3=1 next_st=00 st=00 cnt= 19 dsp= 12
                 390 clk=0 sw1=0 sw2=0 sw3=1 next_st=00 st=00 cnt= 19 dsp= 12
                 395 clk=1 sw1=0 sw2=0 sw3=1 next_st=00 st=00 cnt=  0 dsp=  0
                 400 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 cnt=  0 dsp=  0
                 405 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 cnt=  0 dsp=  0
                 410 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 cnt=  0 dsp=  0
                 415 clk=1 sw1=0 sw2=0 sw3=0 next_st=00 st=00 cnt=  0 dsp=  0
                 420 clk=0 sw1=0 sw2=0 sw3=0 next_st=00 st=00 cnt=  0 dsp=  0

